player_hand;player_options;player_decision;dealer_hand;dealer_options;dealer_decision;result;
['10', '3'];[10];1;['9', '9'];[9];0;0;
['10', '3', '5'];13;0;['9', '9'];18;0;1;
['10', '8'];[10];1;['8', 'K'];[8];1;0;
['10', '8', 'J'];18;0;['8', 'K', '5'];18;1;1;
['Q', '3'];[10];1;['3', '4'];[3];0;0;
['Q', '3', '5'];13;0;['3', '4'];7;0;2;
['J', 'K'];[10];0;['5', '8'];[5];1;0;
['J', 'K'];20;0;['5', '8', '7'];13;0;1;
['J', '6'];[10];1;['6', '8'];[6];1;0;
['J', '6', 'Q'];16;1;['6', '8', '5'];14;1;-1;
['J', 'A'];[10];1;['3', 'J'];[3];1;0;
['J', 'A', '8'];20;1;['3', 'J', '6'];13;0;0;
['J', 'A', '8', 'Q'];19;1;['3', 'J', '6'];19;0;-1;
['2', '4'];[2];1;['J', '6'];[10];1;0;
['2', '4', '6'];6;1;['J', '6', '3'];16;1;0;
['2', '4', '6', 'Q'];12;1;['J', '6', '3', '2'];19;1;-1;
['5', '7'];[5];0;['2', '2'];[2];0;2;
['8', '6'];[8];1;['A', 'A'];[1, 10];1;0;
['8', '6', 'Q'];14;1;['A', 'A', '10'];20;1;-1;
['8', '4'];[8];1;['4', '2'];[4];0;0;
['8', '4', 'Q'];12;1;['4', '2'];6;0;-1;
['6', '7'];[6];1;['J', '9'];[10];1;0;
['6', '7', '6'];13;1;['J', '9', '9'];19;1;2;
['4', '2'];[4];0;['3', '4'];[3];0;-1;
['9', 'K'];[9];1;['7', 'A'];[7];1;0;
['9', 'K', '6'];19;0;['7', 'A', 'J'];17;1;-1;
['3', '8'];[3];1;['3', '6'];[3];0;0;
['3', '8', '9'];11;1;['3', '6'];9;0;0;
['3', '8', '9', '10'];20;1;['3', '6'];9;0;-1;
['3', '10'];[3];1;['8', '3'];[8];1;0;
['3', '10', '8'];13;0;['8', '3', '2'];11;1;0;
['3', '10', '8'];21;0;['8', '3', '2', '8'];13;1;0;
['3', '10', '8'];21;0;['8', '3', '2', '8'];21;0;1;
['J', '4'];[10];1;['A', 'J'];[1, 10];1;0;
['J', '4', 'Q'];14;1;['A', 'J', '6'];20;1;-1;
['6', 'J'];[6];1;['7', 'A'];[7];1;0;
['6', 'J', '9'];16;0;['7', 'A', '2'];17;0;-1;
['8', '7'];[8];1;['7', '9'];[7];1;0;
['8', '7', 'K'];15;1;['7', '9', '4'];16;1;-1;
['4', '9'];[4];0;['Q', 'K'];[10];0;-1;
['2', '4'];[2];1;['Q', '8'];[10];0;0;
['2', '4', 'Q'];6;1;['Q', '8'];18;0;0;
['2', '4', 'Q', '7'];16;1;['Q', '8'];18;0;-1;
['5', 'J'];[5];0;['9', 'K'];[9];1;0;
['5', 'J'];15;0;['9', 'K', 'A'];19;1;0;
['5', 'J'];15;0;['9', 'K', 'A', '3'];20;1;2;
['3', 'J'];[3];0;['6', 'Q'];[6];1;0;
['3', 'J'];13;0;['6', 'Q', 'J'];16;1;2;
['5', '2'];[5];1;['3', '8'];[3];1;0;
['5', '2', 'K'];7;1;['3', '8', 'A'];11;1;0;
['5', '2', 'K', '2'];17;1;['3', '8', 'A'];21;0;0;
['5', '2', 'K', '2', '3'];19;0;['3', '8', 'A'];21;0;-1;
['A', '7'];[1, 10];1;['2', 'A'];[2];0;0;
['A', '7', '2'];17;0;['2', 'A'];12;0;2;
['4', '8'];[4];0;['6', '4'];[6];1;0;
['4', '8'];12;0;['6', '4', '8'];10;1;0;
['4', '8'];12;0;['6', '4', '8', '6'];18;1;2;
['A', '2'];[1, 10];1;['9', '5'];[9];1;0;
['A', '2', '9'];12;1;['9', '5', '7'];14;1;0;
['A', '2', '9'];21;0;['9', '5', '7'];21;0;1;
['10', '6'];[10];1;['A', '6'];[1, 10];1;0;
['10', '6', 'K'];16;1;['A', '6', '7'];16;1;-1;
['6', '5'];[6];1;['9', '5'];[9];0;0;
['6', '5', '4'];11;1;['9', '5'];14;0;0;
['6', '5', '4', '3'];15;1;['9', '5'];14;0;0;
['6', '5', '4', '3', 'Q'];18;0;['9', '5'];14;0;-1;
['5', 'Q'];[5];0;['8', '3'];[8];1;0;
['5', 'Q'];15;0;['8', '3', '3'];11;0;2;
['7', '4'];[7];0;['5', '6'];[5];0;1;
['8', '6'];[8];1;['2', 'K'];[2];1;0;
['8', '6', 'K'];14;1;['2', 'K', '3'];12;1;-1;
['2', 'K'];[2];0;['7', '4'];[7];0;2;
['2', 'A'];[2];1;['9', '8'];[9];1;0;
['2', 'A', 'K'];12;1;['9', '8', '7'];17;0;2;
['J', '8'];[10];1;['4', '6'];[4];1;0;
['J', '8', 'A'];18;1;['4', '6', 'A'];10;1;0;
['J', '8', 'A', '10'];19;0;['4', '6', 'A', '4'];20;1;-1;
['4', 'A'];[4];0;['8', '3'];[8];1;0;
['4', 'A'];14;0;['8', '3', '5'];11;0;-1;
['3', 'Q'];[3];1;['4', '6'];[4];1;0;
['3', 'Q', 'K'];13;1;['4', '6', '9'];10;1;-1;
['10', '8'];[10];1;['Q', '9'];[10];0;0;
['10', '8', '4'];18;0;['Q', '9'];19;0;-1;
['8', 'Q'];[8];1;['2', '5'];[2];0;0;
['8', 'Q', '7'];18;1;['2', '5'];7;0;-1;
['3', '4'];[3];1;['2', '8'];[2];1;0;
['3', '4', '7'];7;1;['2', '8', '10'];10;1;0;
['3', '4', '7', '7'];14;1;['2', '8', '10', '8'];20;1;2;
['K', '7'];[10];1;['5', '7'];[5];1;0;
['K', '7', '6'];17;0;['5', '7', '10'];12;1;1;
['A', '9'];[1, 10];1;['K', 'A'];[10];1;0;
['A', '9', '7'];19;1;['K', 'A', '9'];20;1;0;
['A', '9', '7', 'A'];17;0;['K', 'A', '9', '6'];20;1;2;
['A', '4'];[1, 10];0;['K', '2'];[10];1;0;
['A', '4'];14;0;['K', '2', '3'];12;0;-1;
['J', '5'];[10];1;['6', 'A'];[6];1;0;
['J', '5', '3'];15;0;['6', 'A', '3'];16;0;-1;
['10', 'Q'];[10];1;['2', '8'];[2];0;0;
['10', 'Q', '3'];20;0;['2', '8'];10;0;-1;
['K', 'A'];[10];1;['4', 'J'];[4];1;0;
['K', 'A', 'Q'];20;1;['4', 'J', '6'];14;1;0;
['K', 'A', 'Q'];21;0;['4', 'J', '6', '10'];20;1;2;
['8', '6'];[8];1;['8', '4'];[8];1;0;
['8', '6', '4'];14;1;['8', '4', '8'];12;1;0;
['8', '6', '4', 'A'];18;1;['8', '4', '8', 'J'];20;1;2;
['5', '3'];[5];1;['9', '4'];[9];0;0;
['5', '3', '3'];8;1;['9', '4'];13;0;0;
['5', '3', '3', '6'];11;1;['9', '4'];13;0;0;
['5', '3', '3', '6', '3'];17;1;['9', '4'];13;0;0;
['5', '3', '3', '6', '3', '7'];20;1;['9', '4'];13;0;-1;
['Q', 'Q'];[10];1;['10', '4'];[10];1;0;
['Q', 'Q', '9'];20;1;['10', '4', 'Q'];14;1;1;
['4', '8'];[4];0;['7', '2'];[7];1;0;
['4', '8'];12;0;['7', '2', '5'];9;1;0;
['4', '8'];12;0;['7', '2', '5', 'K'];14;0;2;
['A', '9'];[1, 10];1;['J', '2'];[10];1;0;
['A', '9', 'K'];19;0;['J', '2', '6'];12;1;0;
['A', '9', 'K'];20;0;['J', '2', '6', '2'];18;0;1;
['A', '9'];[1, 10];1;['6', '10'];[6];1;0;
['A', '9', '9'];19;0;['6', '10', '3'];16;1;0;
['A', '9', '9'];19;0;['6', '10', '3', '2'];19;1;0;
['A', '9', '9'];19;0;['6', '10', '3', '2'];21;0;-1;
['4', '10'];[4];1;['A', '6'];[1, 10];0;0;
['4', '10', '7'];14;1;['A', '6'];16;0;0;
['4', '10', '7'];21;0;['A', '6'];16;0;2;
['9', 'A'];[9];1;['4', 'J'];[4];1;0;
['9', 'A', '7'];19;0;['4', 'J', '2'];14;0;2;
['4', 'J'];[4];0;['10', 'Q'];[10];0;-1;
['10', '8'];[10];1;['4', '4'];[4];1;0;
['10', '8', '7'];18;1;['4', '4', 'K'];8;1;-1;
['7', '10'];[7];1;['5', '8'];[5];0;0;
['7', '10', '2'];17;1;['5', '8'];13;0;0;
['7', '10', '2', 'Q'];19;0;['5', '8'];13;0;-1;
['3', 'A'];[3];1;['2', 'K'];[2];1;0;
['3', 'A', '7'];13;1;['2', 'K', '4'];12;1;0;
['3', 'A', '7', '2'];20;1;['2', 'K', '4', '3'];16;1;0;
['3', 'A', '7', '2', 'Q'];13;1;['2', 'K', '4', '3', '10'];19;0;1;
['A', '9'];[1, 10];1;['5', '5'];[5];1;0;
['A', '9', '6'];19;1;['5', '5', '9'];10;1;0;
